Robert Downing Ames,"Robert Downing AmesMarch 23, 1889Hartford, Connecticut, U.S.",m,Alice Gerry (m. 1907 - 19??) Frances Goodrich (m. 1917–1923) Vivienne Segal (m. 1923–1926) Muriel Oakes (m. 1927–1930)
John Amos,"John Allen Amos Jr.December 27, 1939 (age 78)Newark, New Jersey, U.S.",m,Noel J. Mickelson(m. 1965; div. 1975)Lillian Lehman(m. 1978; div. 1979)Elisabete De Sousa (m. 1982)
Anthony Anderson,"August 15, 1970 (age 48)Compton, California, U.S.",m,Alvina Anderson
Arthur Anderson,"Arthur John Miles AndersonAugust 29, 1922Staten Island, New York, U.S.",m,Alice Middleton
Broncho Billy Anderson,"Maxwell Henry AronsonMarch 21, 1880Little Rock, Arkansas, U.S.",m,Mollie Louise Schabbleman (1910–71; his death; 1 child)
Deke Anderson,"Dee Christian AndersonMarch 16, 1959 (age 59)Reno, Nevada, United States",m,Elsa Ward
Eddie Anderson,"Edmund Lincoln AndersonSeptember 18, 1905Oakland, California, U.S.",m,Mamie Wiggins Nelson(m. 1932; her death 1954)Eva Simon(m. 1956; divorce 1973)
Herbert Anderson,"Herbert AndersonMarch 30, 1917Oakland, California",m,Mary Virginia Palmer
Jeff Anderson,"Jeffrey Allan AndersonApril 21, 1970 (age 48)Connecticut, United States",m,Lisa Spoonauer (1998–1999)[1]Barbara Jacques (2009–present)
Richard Anderson,"Richard Norman AndersonAugust 8, 1926Long Branch, New Jersey, U.S.",m,Carol Lee Ladd(m. 1955; div. 1956)Katharine Thalberg(m. 1961; div. 1973)
Richard Dean Anderson,"January 23, 1950 (age 68)Minneapolis, Minnesota, United States",m,"Teri Hatcher, Lara Flynn Boyle, Sela Ward, Apryl A Prose"
Sam Anderson,"May 13, 1945 (age 73)Wahpeton, North Dakota, U.S.",m,Barbara Anderson
Keith Andes,"John Charles AndesJuly 12, 1920Ocean City, New Jersey, U.S.",m,Jean Alice Cotton (m. 1946–1961) (divorced) 2 childrenShelah Hackett (divorced)
Dana Andrews,"Carver Dana AndrewsJanuary 1, 1909Near Collins, Mississippi, U.S.",m,Janet Murray(m. 1932; her death 1935)Mary Todd(m. 1939; his death 1992)
David Andrews,"November 2, 1952 (age 66)Baton Rouge, Louisiana",m,Shannon Williams Andrews
Edward Andrews,"October 9, 1914Griffin, Georgia, U.S.",m,Emily Andrews (m. 1955–1985)
Tige Andrews,"Tiger AndrewsMarch 19, 1920Brooklyn, New York, U.S.",m,Norma Thornton Andrews(m. 1950; her death 1996)
Tod Andrews,"Theodore Edwin AndersonNovember 9, 1914[1]El Paso, Texas, U.S.[1]",m,Gloria Eleanor Folland (1947-19??; divorced)Alice Hooker (divorced)Karolyn Rainwater (1967–1972; his death)
Paul AnkaOC,"Paul Albert AnkaJuly 30, 1941 (age 77)Ottawa, Ontario, Canada",m,Anne de Zogheb(m. 1963; div. 2001)Anna Åberg(m. 2008; div. 2010)Lisa Pemberton (m. 2016)
Morris Ankrum,"Morris NussbaumAugust 28, 1896Danville, Vermilion CountyIllinois, US",m,"Joan Wheeler (1935–1964, his death)Gillian Gilbert (? - ?)"
Dave Annable,"David Rodman AnnableSeptember 15, 1979 (age 39)Suffern, New York, U.S.",m,Odette Annable (m. 2010)
Afa Anoa'i,"November 21, 1942 (age 76)[1]Western Samoa Trust Territory",m,Lynn Anoa'i (m. 1960)
Michael Ansara,"Michael George AnsaraApril 15, 1922French Mandate for Syria and the Lebanon",m,"Jean Byron(m. 1955; div. 1956)Barbara Eden(m. 1958; div. 1974),Beverly Kushida(m. 1977; his death 2013)"
Craig Anton,"Craig Ward AntonAugust 28, 1962 (age 56)Omaha, Nebraska, U.S.",m,Lesley Barr (m. 1994–present; 2 children)
Emile de Antonio,"Emile Francisco de AntonioMay 14, 1919Scranton, Pennsylvania, U.S.",m,Nancy de Antonio
Lou Antonio,"January 23, 1934 (age 84)Oklahoma City, Oklahoma, U.S.",m,Lane Bradbury(m. 1965; divorce 1980)
Jason Antoon,"Jason Allan Antoon[1]November 9, 1971 (age 47)Santa Monica, California, U.S.",m,Seana Kofoed (2010–present)
Judd Apatow,"December 6, 1967 (age 51)Flushing, Queens, New York, U.S.",m,Leslie Mann (m. 1997)
Eddie Applegate,"Edward Robert ApplegateOctober 4, 1935Wyncote, Pennsylvania, U.S.",m,"Tanya Maniatty (1967-1986, divorce)Betty Jenkins"
