Lacey Chabert,"Lacey Nicole ChabertSeptember 30, 1982 (age 36)Purvis, Mississippi, U.S.",David Nehdar (m. 2013)
Kate Morgan Chadwick,"Kate Morgan ChadwickSan Diego, California, United States, North America",Clayton Apgar
Flora Chan,30 May 1970 (age 48)Hong Kong,Wai-ming Chung (m. 1994–2001)Mike Chung (m. 2006–present)
Carol Channing,"Carol Elaine ChanningJanuary 31, 1921 (age 97)Seattle, Washington, U.S.",Theodore Naidish(m. 1941; div. 1944)Alexander Carson(m. 1953; div. 1956)Charles Lowe(m. 1956; died 1999)Harry Kullijian(m. 2003; died 2011)
Cher,"Cherilyn SarkisianMay 20, 1946 (age 72)El Centro, California, U.S.",Sonny Bono(m. 1969; div. 1975) Gregg Allman(m. 1975; div. 1979)
John Cho,"Cho Yo HanJune 16, 1972 (age 46)Seoul, South Korea",Kerri Higuchi (m. 2006)
Ciara,"Ciara Princess HarrisOctober 25, 1985 (age 33)Austin, Texas, U.S.",Russell Wilson (m. 2016)
Keyshia Cole,"October 15, 1981 (age 37)[1]Oakland, California, U.S.",Daniel Gibson (m. 2011–2017)
Natalie Cole,"Natalie Maria ColeFebruary 6, 1950Los Angeles, California, U.S.",Marvin Yancy(m. 1976; div. 1980)Andre Fischer(m. 1989; div. 1995)Kenneth Dupree(m. 2001; div. 2004)
Rachel Coleman,"Rachel de AzevedoOctober 9, 1974 (age 44)Van Nuys, California",Aaron Coleman
Harry Connick Jr.,"Joseph Harry Fowler Connick Jr.September 11, 1967 (age 51)New Orleans, Louisiana, U.S.",Jill Goodacre (m. 1994)
Danny Cooksey,"Daniel Ray Allen Cooksey Jr.November 2, 1975 (age 43)Moore, Oklahoma, U.S.",Amber Leigh (m. 1998)
Bradley Cooper,"Bradley Charles CooperJanuary 5, 1975 (age 43)Philadelphia, Pennsylvania, U.S.",Jennifer Esposito(m. 2006; div. 2007)
Billy Corgan,"William Patrick Corgan Jr.March 17, 1967 (age 51)Chicago, Illinois, U.S.",Chris Fabian(m. 1993; div. 1997)
Chris Cornell,"Christopher John BoyleJuly 20, 1964Seattle, Washington, U.S.",Susan Silver(m. 1990; div. 2004)Vicky Karayiannis (m. 2004)
Tiny Harris,"Tameka Dianne CottleJuly 14, 1975 (age 43)College Park, Georgia, U.S.",T.I. (m. 2010)
Jerome Courtland,"December 27, 1926Knoxville, Tennessee, U.S.","Polly Bergen (1950-1955) (divorced)Janet Rose Gumprecht (1955-?) (divorced), 5 childrenMarlene Juttner (1984-2012) (his death)"
Shireen Crutchfield,"Shireen Elaine CrutchfieldDecember 29, 1970 (age 47)Cambridge, Massachusetts, U.S.",Davis Henry (m. 2001; div. 2005)
Jim Cummings,"James Jonah CummingsNovember 3, 1952 (age 66)Youngstown, Ohio, U.S.",Stephanie Cummings (m. 2001)
Carmen Cusack,"April 25Denver, Colorado",Paul Telfer
Billy Ray Cyrus,"William Ray CyrusAugust 25, 1961 (age 57)Flatwoods, Kentucky, U.S.",Cindy Smith(m. 1986; div. 1991)Leticia Jean Finley (m. 1993)
Miley Cyrus,"Destiny Hope CyrusNovember 23, 1992 (age 26)Franklin, Tennessee, U.S.",Liam Hemsworth (m. 2018)
E. G. Daily,"Elizabeth Ann GuttmanSeptember 11, 1961 (age 57)Los Angeles, California, U.S.",Rick Salomon(m. 1995; div. 2000)
Sarah E. Daniels,"Sarah E. DanielsAugust 1, 1989 (age 29)Orlando, Florida, U.S.",Skye Scott
Clifton Davis,"Clifton Duncan DavisOctober 4, 1945 (age 73)Chicago, Illinois, U.S.",Ann Taylor (m. 1981–1991)Monica Durant (m. 2000)
Doris Day,"Doris Mary Kappelhoff[1]April 3, 1922 (age 96)Cincinnati, Ohio, U.S.",Al Jorden(m. 1941; div. 1943)George Weidler(m. 1946; div. 1949)Martin Melcher(m. 1951; died 1968)Barry Comden(m. 1976; div. 1981)
Skyler Day,"Skyler Elizabeth DayAugust 2, 1991 (age 27)Cumming, Georgia, U.S.",Ian Nelson (m. 2017)
