Jamaal Bailey,None,Democratic,Giamara
Paul Bailey,"March 4, 1968 (age 50)",Republican Party,Amy Bailey
Nick Bain,"September 18, 1979 (age 39)Corinth, Mississippi",Democratic,Lesley
Steve Bair,"April 9, 1958 (age 60)Blackfoot, Idaho",Republican,Lori Kae Belnap
Brian Baird,"Brian Norton BairdMarch 7, 1956 (age 62)Chama, New Mexico, U.S.",Democratic,Rachel Nugent
Alan Baker,"July 15, 1956 (age 62)Brewton, Alabama",Republican,Kaki Stokes Baker
HonorableCarey Baker,"March 16, 1963 (age 55)Eustis, Florida",Republican,Lori Baker
Catharine Baker,"Catharine Ann BaileyMay 1, 1971 (age 47)Palm Springs, California",Republican,Daniel
Charlie Baker,"Charles Duane Baker, Jr.November 13, 1956 (age 62)Elmira, New York, U.S.",Republican,Lauren Schadt
Dave Baker,"March 27, 1962 (age 56)",Republican Party of Minnesota,Mary (m. 1985)
Lisa Baker,None,Republican,Gary
Matt Baker,"January 24, 1957 (age 61)Buffalo, New York, U.S.",Republican,Brenda Baker
Richard Baker,"May 22, 1948 (age 70)New Orleans, Louisiana",Democratic (1972-86)Republican (1986-present),Kay Baker
Rushern Baker,"October 24, 1958 (age 60)Valdosta, Georgia, U.S.",Democratic,Christa Beverly
Tom Bakk,"June 8, 1954 (age 64)Virginia, Minnesota, U.S.",Democratic,Laura
John Baldacci,"John Elias BaldacciJanuary 30, 1955 (age 63)Bangor, Maine, U.S.",Democratic,Karen Baldacci
Al Baldasaro,"November 20, 1956 (age 62)",Republican,Judy[1]
Hector Balderas,"Hector Hugo Balderas Jr.August 16, 1973 (age 45)Wagon Mound, New Mexico, U.S.",Democratic,Denise Balderas
Troy Balderson,"William Troy BaldersonJanuary 16, 1962 (age 56)Zanesville, Ohio, U.S.",Republican,Angela Mattingly(m. 1985; div. 2014)
Alonzo Baldonado,"January 29, 1974 (age 44)Albuquerque, New Mexico, U.S.",Republican,Rebecca Baldonado
Chuck Baldwin,"Charles Obadiah BaldwinMay 3, 1952 (age 66)La Porte, Indiana, U.S.",Independent American (2015–present),Connie Kay Cole (m. 1973)
Fred Baldwin,"Afton, Wyoming",Republican,Parry Baldwin
The HonorableDon Balfour,None,Republican,Ginny
Allison Ball,"August 27, 1981 (age 37)",Republican,Asa James Swan
